support@court.go.ke,dl,Technical Support,,
supremejudges@court.go.ke,dl,Supreme,,
courtofappealjudges@court.go.ke,dl,Court of Appeal judges,,
jsc@court.go.ke,dl,jsc,,
all_magistrates@court.go.ke,dl,All Judiciary Magistrates,,
highcourtjudges@court.go.ke,dl,High Court Judges,,
customercare@court.go.ke,dl,Ombudsperson Office,,
ict@court.go.ke,dl,ICT,,
liasons@court.go.ke,dl,,,
allcourts@court.go.ke,dl,All Courts,,
headsofstations@court.go.ke,dl,,,
headsofsections@court.go.ke,dl,,,
accounts@court.go.ke,dl,,,
courtofappealstaff@court.go.ke,dl,Court of Appeal Staff,,
directors@court.go.ke,dl,Judiciary Directors,,
ictregional@court.go.ke,dl,,,
residentjudges@court.go.ke,dl,Resident Judges,,
public.affairs@court.go.ke,dl,,,
industrialjudges@court.go.ke,dl,,,
executivesupreme@court.go.ke,dl,,,
supremesecretaries@court.go.ke,dl,,,
ictsupreme@court.go.ke,dl,,,
supremelibrary@court.go.ke,dl,,,
supremeclerks@court.go.ke,dl,,,
supremeushers@court.go.ke,dl,,,
supremesupport@court.go.ke,dl,,,
supremeresearchers@court.go.ke,dl,,,
evecutiveassistantsupreme@court.go.ke,dl,,,
courtofappealresearchers@court.go.ke,dl,court of appeal researchers,,
legalresearchers@court.go.ke,dl,,,
librarians@court.go.ke,dl,Librarians,,
kikuyustaff@court.go.ke,dl,Kikuyu Staff,,
mombasahighcourt@court.go.ke,dl,mombasahighcourt,,
kisumuihighcourt@court.go.ke,dl,kisumuihighcourt,,
allhighcourts@court.go.ke,dl,allhighcourts,,
milimanihighcourt@court.go.ke,dl,milimanihighcourt,,
malindihighcourt@court.go.ke,dl,malindihighcourt,,
kitalehighcourt@court.go.ke,dl,kitalehighcourt,,
kakamegahighcourt@court.go.ke,dl,Kakamega High Court,,
nyericourtstaff@court.go.ke,dl,nyericourtStaff,,
embuhighcourt@court.go.ke,dl,embuhighcourt,,
meruhighcourt@court.go.ke,dl,meruhighcourt,,
kisiihighcourt@court.go.ke,dl,kisiihighcourt,,
bungomahighcourt@court.go.ke,dl,bungomahighcourt,,
busiahighcourt@court.go.ke,dl,busiahighcourt,,
nakuruhighcourt@court.go.ke,dl,nakuruhighcout,,
kerichohighcourt@court.go.ke,dl,kerichohighcourt,,
machakosihighcourt@court.go.ke,dl,machakosihighcourt,,
garissahighcourt@court.go.ke,dl,garissahighcourt,,
milimani.highcourt@court.go.ke,dl,milimani.highcourt,,
legalresearchers.milimani@court.go.ke,dl,Legal Researchers Milimani,,
casesystem@court.go.ke,dl,,,
elc@court.go.ke,dl,,,
supremestaff@court.go.ke,dl,,,
milimanisectionheads@court.go.ke,dl,Head Of Sections  Milimani,,
registrars@court.go.ke,dl,Registrars,,
deputyregistrars@court.go.ke,dl,Deputy Registrars,,
accountants@court.go.ke,dl,accountants,,
hr_committee@court.go.ke,dl,Judiciary HR Committee,,
khadhis@court.go.ke,dl,,,
wanproject@court.go.ke,dl,,,
milimanilan@court.go.ke,dl,,,
supremelawclerks@court.go.ke,dl,Supreme Court Law Clerks,,
kakamegalan@court.go.ke,dl,,,
kisumulan@court.go.ke,dl,,,
garissalan@court.go.ke,dl,,,
kikuyulan@court.go.ke,dl,,,
kiberalan@court.go.ke,dl,,,
malindilan@court.go.ke,dl,,,
mombasalan@court.go.ke,dl,,,
embulan@court.go.ke,dl,,,
kisiilan@court.go.ke,dl,,,
nakurulan@court.go.ke,dl,,,
machakoslan@court.go.ke,dl,,,
kericholan@court.go.ke,dl,,,
kitalelan@court.go.ke,dl,,,
bungomalan@court.go.ke,dl,,,
makadaralan@court.go.ke,dl,,,
comlan@court.go.ke,dl,,,
nyerilan@court.go.ke,dl,,,
merulan@court.go.ke,dl,,,
jtilan@court.go.ke,dl,,,
eldoretlan@court.go.ke,dl,,,
combinedlan@court.go.ke,dl,,,
kadhis@court.go.ke,dl,Kadhis ,,
ict_assistants@court.go.ke,dl,,,
scm@court.go.ke,dl,Supply Chain Management,,
kwja@court.go.ke,dl,,,
tenders@court.go.ke,dl,Judiciary Tenders,,
milimanielc@court.go.ke,dl,,,
ict_billing@court.go.ke,dl,ICT Billing,,
pressreview@court.go.ke,dl,,,
cpd&e.committee@court.go.ke,dl,cpd&e.committee,,
continousprofdev&editorial@court.go.ke,dl,,,
strategicleadership&management@court.go.ke,dl,,,
ictcommittee@court.go.ke,dl,,,
hclegalresearchers@court.go.ke,dl,,,
supremereg@court.go.ke,dl,,,
inspectionacceptancecommitte2013@court.go.ke,dl,Inspection and Acceptance Committe 2013,,
procurementstaff@court.go.ke,dl,Procurement Officers,,
githunguristaff@court.go.ke,dl,,,
ombudsoffice@court.go.ke,dl,Ombuds persons Office,,
secretaries@court.go.ke,dl,Secretaries,,
regionalassistantdirectors@court.go.ke,dl,Regional Assistant Directors(Finance and accounts),,
principalaccountant@court.go.ke,dl,,,
chiefaccountants@court.go.ke,dl,Chief Accountants,,
senioraccountants@court.go.ke,dl,,,
economists@court.go.ke,dl,,,
auditors@court.go.ke,dl,,,
dpacstaff@court.go.ke,dl,DPAC STAFF,,
all-judges@court.go.ke,dl,All Judges,,
all-staff@court.go.ke,dl,all-staff,,
allstaff@court.go.ke,dl,Judicial officers and Judicial staff,,
internalaudit@court.go.ke,dl,INTERNAL AUDIT,,
performance@court.go.ke,dl,,,
assistantdir.hro@court.go.ke,dl,Assistant Directors Hr & Admin,,
principalhro@court.go.ke,dl,Principal Hr Officers,,
chiefhro@court.go.ke,dl,ChiefHr Officer,,
secretariatjsc@court.go.ke,dl,Secretariat Staff,,
coasecretaries@court.go.ke,dl,Court of Appeal Secretaries,,
coaict@court.go.ke,dl,Court of Appeal ICT,,
milimani_ict@court.go.ke,dl,milimani ict,,
srwod@court.go.ke,dl,,,
othayalawcourt@court.go.ke,dl,,,
kerugoyalawacourt@court.go.ke,dl,,,
kmjasouthnyanza@court.go.ke,dl,,,
kmjakadhis@court.go.ke,dl,,,
kmjakisumu@court.go.ke,dl,KMJA Kisumu,,
kmjabungomabusia@court.go.ke,dl,,,
kmjanairobi@court.go.ke,dl,,,
kmjaeasternnorth@court.go.ke,dl,,,
kmjanorthrift@court.go.ke,dl,,,
kmjaembu@court.go.ke,dl,,,
kmjaexecutivecouncil@court.go.ke,dl,,,
kmjakakamega/vihiga@court.go.ke,dl,,,
kmjacoast@court.go.ke,dl,,,
kmjalowereastern@court.go.ke,dl,,,
kmjamountkenya@court.go.ke,dl,,,
kmjanortheastern@court.go.ke,dl,,,
kmjanorthnyanza@court.go.ke,dl,,,
kmjasouthrift@court.go.ke,dl,,,
kmja@court.go.ke,dl,,,
servermigration@court.go.ke,dl,Server Migration,,
jpipstaff@court.go.ke,dl,JPIP STAFF,,
jpipmuifa@court.go.ke,dl,PMUIFA,,
appealjudgesnairobi@court.go.ke,dl,Appeal Judges,,
thikacourtstaffs@court.go.ke,dl,Thika Court Staffs,,
pscjpip@court.go.ke,dl,PSC JPIP,,
kmjagarsen@court.go.ke,dl,Kmja Garsen,,
jpipunits@court.go.ke,dl,,,
strategic_plan@court.go.ke,dl,Strategic  Plan,,
environment&land@court.go.ke,dl,,,
jpc@court.go.ke,dl,,,
hrodsection@court.go.ke,dl,,,
hrrescordssection@court.go.ke,dl,,,
hrod&records@court.go.ke,dl,,,
coajudgesnairobi@court.go.ke,dl,Nairobi Court of Appeal Judges,,
icms@court.go.ke,dl,ICMS,,
ictpolicyteam@court.go.ke,dl,,,
southnyanzahra@court.go.ke,dl,,,
tfhos@court.go.ke,dl,TFHOS,,
feedback@court.go.ke,dl,Feedback,,
sojar2014@court.go.ke,dl,SoJAR2014,,
editorial@court.go.ke,dl,,,
lucytest@court.go.ke,dl,,,
dc_migration@court.go.ke,dl,,,
ictdistribution&equipmentcommittee@court.go.ke,dl,,,
courtofappealnrb@court.go.ke,dl,Nairobi Court of Appeal Staff,,
courtreturnsfeedback@court.go.ke,dl,Court Returns Feedback,,
tribunals@court.go.ke,dl,,,
helpdesk@court.go.ke,dl,,,
noc@court.go.ke,dl,Network operating centre,,
webcontent@court.go.ke,dl,NEW WEBSITE CONTENT,,
commercial&admiralty@court.go.ke,dl,Commercial and Admiralty,,
ictstrategy@court.go.ke,dl,,,
javitstakeholders@court.go.ke,dl,Javit Stakeholders,,
sojar2015@court.go.ke,dl,Sojar,,
javit@court.go.ke,dl,JAVIT,,
mahakamawelfare@court.go.ke,dl,,,
javit-pmu@court.go.ke,dl,Javit-pmu,,
lan2@court.go.ke,dl,LAN 2,,
leasemfps@court.go.ke,dl,Leased Printers,,
hcqueuemanagement@court.go.ke,dl,HC Queue Management,,
nyerihighcourtjudges@court.go.ke,dl,,,
nyerimagistrates@court.go.ke,dl,,,
bcuc@court.go.ke,dl,Business Court User Committee ,,
ipmas@court.go.ke,dl,IPMAS,,
prestige@court.go.ke,dl,PRESTIGE,,
telkombills@court.go.ke,dl,Telkom Bills,,
kiambustaffs@court.go.ke,dl,Kiambu Staffs,,
upsmanagement@court.go.ke,dl,,,
hrcentralregion@court.go.ke,dl,,,
commercialdivisionjudges&drs@court.go.ke,dl,,,
emailreset@court.go.ke,dl,E-mails,,
dscmregionalcoordinator@court.go.ke,dl,SCM Regional Coordinators,,
financestaff@court.go.ke,dl,,,
employmentcourtjudges@court.go.ke,dl,,,
management@court.go.ke,dl,,,
milimanijudges@court.go.ke,dl,Milimani High Court Judges,,
milimanimagistrates@court.go.ke,dl,Milimani Magistrates,,
transfer&values@court.go.ke,dl,Transfer and Values,,
recruitment&appointment@court.go.ke,dl,,,
sojar@court.go.ke,dl,,,
icteoi@court.go.ke,dl,ICT EOI,,
registrarelc@court.go.ke,dl,Registrar ELC,,
embulan2@court.go.ke,dl,EMBU LAN,,
naroklan@court.go.ke,dl,Narok Lan,,
kisumulan2@court.go.ke,dl,Kisumu Lan,,
mfpmeterreading@court.go.ke,dl,,,
submissionscommercialhc@court.go.ke,dl,SUBMISSIONS,,
malindicourtstaff@court.go.ke,dl,Malindi Staffs,,
ictmalindicourt@court.go.ke,dl,ICT Malindi Court,,
sojar2017@court.go.ke,dl,SOJAR ,,
scmshelpdesk@court.go.ke,dl,Supply Chain Management,,
connect@court.go.ke,dl,Connect,,
orgreview@court.go.ke,dl,Judiciary Organisation Review,,
judiciarysports@court.go.ke,dl,Judiciary Sports,,
elrcstrategicplan@court.go.ke,dl,ELRCstrategicplan,,
milimani_hc_cr_cuc@court.go.ke,dl,Milimani High Court Criminal Division CUC,,
mcourtusercommittee@court.go.ke,dl,Makadara Court User Committee,,
secretariate@court.go.ke,dl,,,
kerugoyacourtstaff@court.go.ke,dl,Kerugoya Law Courts Staff,,
